Country,Population,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,New_Recovered,Active,Serious_Critical,Total_Cases_per_1M_pop,Deaths_per_1M_pop,Total_Tests,Tests_per_1M_pop
Yemen,29886897,1768,,508,,898,,362,,59,17,120,4
Tunisia,11830801,1642,,51,,1241,,350,9,139,4,100298,8478
New Zealand,5002100,1569,,22,,1524,,23,,314,4,486943,97348
Angola,32956300,1483,,64,,520,,899,20,45,2,64747,1965
Uruguay,3474956,1318,,37,,1079,,202,2,379,11,126956,36535
Latvia,1883936,1275,,32,,1070,,173,,677,17,207909,110359
Jordan,10213138,1232,,11,,1171,,50,3,121,1,628745,61562
Liberia,5068618,1224,,78,,705,,441,,241,15,,
Uganda,45867852,1223,,5,,1102,,116,,27,0.1,288367,6287
Cyprus,1208238,1208,,19,,856,,333,,1000,16,216597,179267
Georgia,3988368,1206,,17,,987,,202,,302,4,240473,60294
Burkina Faso,20954852,1158,,54,,961,,143,,55,3,,
Niger,24281433,1153,,69,,1057,,27,,47,3,9052,373
Togo,8296582,1012,,22,,697,,293,2,122,3,45767,5516
Syria,17539600,999,,48,,311,,640,,57,3,,
Jamaica,2962478,958,30,12,,745,,201,,323,4,41840,14123
Malta,441663,946,,9,,670,,267,,2142,20,136713,309541
Andorra,77278,944,,52,,828,,64,1,12216,673,3750,48526
Chad,16467965,942,,76,,838,,28,,57,5,,
Gambia,2422754,935,,16,,136,,783,,386,7,5183,2139
Sao Tome and Principe,219544,878,,15,,797,,66,,3999,68,3079,14025
Botswana,2356075,804,,2,,63,,739,1,341,0.8,68423,29041
Bahamas,393616,761,,14,,91,,656,1,1933,36,4814,12230
Vietnam,97425470,747,,10,,392,,345,,8,0.1,482456,4952
Lesotho,2143943,742,,23,,175,,544,,346,11,8771,4091
Diamond Princess,,712,,13,,651,,48,4,,,,
San Marino,33938,699,,42,,657,,0,,20596,1238,6068,178797
Réunion,895952,671,,5,,592,,74,3,749,6,35419,39532
Channel Islands,174022,597,,47,,533,,17,,3431,270,30721,176535
Guyana,786936,538,,22,,189,,327,2,684,28,5165,6563
Tanzania,59886383,509,,21,,183,,305,7,8,0.4,,
Taiwan,23821199,477,,7,,443,,27,,20,0.3,82737,3473
Comoros,871326,396,,7,,340,,49,,454,8,,
Burundi,11922216,395,,1,,304,,90,,33,0.08,15614,1310
Myanmar,54446389,357,,6,,308,,43,,7,0.1,122290,2246
Mauritius,1271985,344,,10,,334,,0,,270,8,205285,161389
Isle of Man,85078,336,,24,,312,,0,,3949,282,8627,101401
Mongolia,3283344,293,,,,260,,33,1,89,,38334,11675
Eritrea,3551175,282,,,,225,,57,,79,,,
